AFF_LOVE_POINT	Love points: %d%%
YENILE_BUTTON3	|Eemoji/key_alt|e + |Eemoji/key_lclick|e - Custom Sort
SWITCHBOT_ALTERNATIVE	Alternatives:
OXEVENT_MANAGER_LOGIN_PASSWORD	Type password:
OXEVENT_MANAGER_LOGIN_CONNECT	Login
OXEVENT_MANAGER_LOGIN_CANCEL	Close
OXEVENT_MANAGER_LOGIN_TITLENAME	GM: OX Event Administration
OXEVENT_MANAGER_BTN_LOGIN	Try to connect on event manager...
OXEVENT_MANAGER_BTN_REWARD	Give a reward
OXEVENT_MANAGER_BTN_CLEAR	Clear
OXEVENT_MANAGER_HORIZONTALBAR_TEXT	Offers for participants a prize.
OXEVENT_MANAGER_NAME_ITEM	Name item:
OXEVENT_MANAGER_COUNT	Count(s):
OXEVENT_MANAGER_QUEST_OPEN_GATES	You want to open competition now?
OXEVENT_MANAGER_QUEST_CLOSE_GATES	Are you sure want to closed gates?
OXEVENT_MANAGER_QUEST_FINISH_EVENT	You want to finish competition and get winner?
OXEVENT_MANAGER_QUEST_GIVE_REWARD	ItemVnum: [%s] - Name: [%s] - Count's: [%s]
OXEVENT_MANAGER_QUEST_RUN_QUIZ	You want to run a question?
OXEVENT_MANAGER_QUEST_FORCE_CLOSE	Are you sure? even want to do this?
OXEVENT_MANAGER_QUEST_CLEAR_REWARD	Clear setting rewards from window?
OXEVENT_MANAGER_TITLENAME	GM: Panel competition OX
OXEVENT_MANAGER_USER_TEXT	Total counters (participants/observers):
OXEVENT_MANAGER_USER_COUNT	|cFFffe700%d / %d
OXEVENT_TOOLTIP_EMPTY	EMPTY
OXEVENT_TOOLTIP_NAME	Name character: %s
OXEVENT_TOOLTIP_LEVEL	Level: %s
OXEVENT_TOOLTIP_GUILD	Guild name: %s
OXEVENT_TOOLTIP_EMPIRE	Empire: %s
OXEVENT_TOOLTIP_DATE	Date winner: %s
OXEVENT_TOOLTIP_ANSWERS	Total correct answers: %s
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Cancel
MOVE_CHANNEL_NOTICE	You are connected to channel %d.
MOVE_CHANNEL_NOT_MOVE	You cannot change your channel.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Channels
MOVE_CHANNEL_TIP	|cfff4b624TIP: |cffffffffUse /cch #
ADMIN_MANAGER_TITLE_NAME	Admin: Ban Tool
ADMIN_MANAGER_REASON	Reason:
ADMIN_MANAGER_REASON_TYPE	Type reason.
ADMIN_MANAGER_DAY	Day(s)
ADMIN_MANAGER_HOUR	Hour(s)
ADMIN_MANAGER_MINUTE	Min(s)
ADMIN_MANAGER_USERNAME	UserName:
ADMIN_MANAGER_BAN	OK
ADMIN_MANAGER_BAN_TYPE_1	Permanently
ADMIN_MANAGER_BAN_TYPE_2	IP
ADMIN_MANAGER_BAN_TYPE_3	With time
ADMIN_MANAGER_BAN_TYPE_DESCRIPTION_1	Block account permanently.
ADMIN_MANAGER_BAN_TYPE_DESCRIPTION_2	Block all acounts of him ip.
ADMIN_MANAGER_BAN_TYPE_DESCRIPTION_3	Block account based by time.
CHANNEL_SELECT_CHANNEL	Choose the channel
CHANNEL_SELECT_REGION	Choose region.
CHANNEL_SELECT_SERVER	Choose server
CHANNEL_STATUS_BUSY	Busy
CHANNEL_STATUS_FULL	Full
CHANNEL_STATUS_OFFLINE	Unknown
CHANNEL_STATUS_RECOMMENDED	Normal
CHANNEL_STATUS_VACANT	Normal
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
SERVER_NOTIFY_CLOSED	Closed server: only accounts created before the closure may enter.
SERVER_STATUS_CLOSE	CLOSED
SERVER_STATUS_NEW	OFFICIAL
SERVER_STATUS_SPECIAL	DEV
SERVER_STATUS_STANDBY	CLOSED
LOGIN_ERROR_VERSION_NUMBER	The system has detected that you are using an obsolete version.
MAINTENANCE_DESCRIPTION	|cffffdeadMaintenance in: [ %s ]|r - |cffffffffEstimated time: [ %s ]|r
AURA_BOOST_DRAIN_PER	Extra Absorption +%d%%
AURA_DRAIN_PER	Absorption rate %.1f%%
AURA_DRAIN_BOOST_PER	Absorption rate %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Insufficient Yang to evolve.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No further bonuses can be applied.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Equipped items cannot be transmitted.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Cannot be evolved.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Current number of items is not sufficient to evolve.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Cannot be improved.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] You need to attach the materials.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Only Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Soulbound items cannot be transmitted.
AURA_ITEM_NEED_REGISTER	[Aura] Items must be inserted.
AURA_LEVEL_STEP	Lvl%d (Stage %d)
AURA_MAX_LEVEL	[Aura] Aura Outfit has attained maximum level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Transmitted item will be destroyed.
AURA_OPEN_OTHER_WINDOW	You cannot do this while the window for improvement, evolution or transferring stats is open.
AURA_POSSIBLE_AURAITEM	[Aura] Only Aura Outfit can be used.
AURA_POSSIBLE_AURARESOURCE	[Aura] Only Aura Ice Rune and Aura Fire Rune can be used.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit must be inserted first.
AURA_TITLE_ABSORB	Transmit values onto Aura Outfit
AURA_TITLE_EVOLUTION	Evolve Aura Outfit
AURA_TITLE_GROWTH	Improve Aura Outfit
AURA_TOOLTIP_EVOLUTION_PER	Chance: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stage %d) (Absorption rate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	New
AURA_TOOLTIP_NOW	Current
AURA_TOOLTIP_RESOURCE	Consumables
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
NOTLVL_ITEMDESTROY_ITEM_FRAG	You do not have enough level to generate Energy Fragments.
NOT_ITEMDESTROY_ITEM_FRAG	The item needed to generate Energy Fragments is not of the correct level.
NOTLVL_ITEMDESTROY_ITEM_AURA	You do not have enough level to generate Aura Ice Rune.
NOT_ITEMDESTROY_ITEM_AURA	The item needed to generate Aura Ice Rune is not of the correct level.
NOT_ITEMDESTROY_ITEM_LVL	The item does not have the right level to perform this action.
ITEM_NEVER_DESTROY_FORLIST	This item cannot be destroyed.
REFINE_COST_UPGRADE	[i] Costs of improving
REFINE_CURRENT_ITEM	[i] Current item
REFINE_NEXT_ITEM	[i] Next item
REFINE_NEED_ITEMS	[i] Items required for upgrade
REFINE_CURRENT_PERCENTAGE	[i] Current percentage: %d%%
REFINE_INCREASE_PERCENTAGE	[Extra + %d%%]
REFINE_RARITY_WARNING	This item may fail during refining.
REFINE_RARITY_WARNING_WITH_BONUS_PERCENT_1	This will increase the probability of improvement.
REFINE_RARITY_WARNING_WITH_BONUS_PERCENT_2	This will not increase the probability of improvement. Do you wish to continue?
REFINE_RARITY_DOWN_GRADE_WARNING	If it fails, the item will become a rarity again. Do you wish to continue?
REFINE_RARITY_NOT_GRADE_WARNING	If it fails, the item keeps the same rarity. Do you want to continue?
PRIVATESHOP_SEARCH_REQ_NAME	[Search in Store] Enter the name of the object to search for...
NIGHTMARE	Nightmare
MAGICTROLL	MagicTroll
SERPENT_QUEEN	Serpent Queen
ALASTOR	Alastor
TICKET_PRIORITY_HIGH	High
TICKET_PRIORITY_MEDIUM	Medium
TICKET_PRIORITY_LOW	Low
TICKET_STATE_ON_HOLD	Open
TICKET_STATE_CLOSED	Closed
TICKET_STATE_SOLVED	Solved
TICKET_ADD_NAME	Name:
TICKET_ADD_TITLE	Add Member
TICKET_ADD_ACCEPT	Accept
TICKET_SEND	Send
TICKET_TITLE	Support
TICKET_MY_TICKETS	My Tickets
TICKET_ADMINISTRATION	Administration
TICKET_SORT_BY	Sort by:
TICKET_ID	ID
TICKET_ID2	Ticket ID
TICKET_ANSWERS	Answers
TICKET_TITLE_T	Title
TICKET_PRIORITY	Priority
TICKET_DATE	Date
TICKET_STATE	Status
TICKET_CREATE_NEW	Create a new ticket
TICKET_SEARCH	Search by ID:
TICKET_SEARCH_BUTTON	Search for
TICKET_NAME	Name
TICKET_DELETE	Remove member
TICKET_CHANGE_PERMISIONS	Change permissions
TICKET_ADD_MEMBER	Add new member
TICKET_REFRESH	Upgrade
TICKET_CATEGORY	Category
TICKET_CATEGORY_0	All
TICKET_CATEGORY_1	Suggestions
TICKET_CATEGORY_2	Bugs
TICKET_CATEGORY_3	Hacks
TICKET_CATEGORY_4	ItemShop
TICKET_DELETE_MEMBER	Delete PJ
TICKET_NAME_MEMBER	PJ name
TICKET_STATE_BY_DATE	By %s at %s %s
TICKET_ID_NOT_FOUND	No ticket has been found with the id %s.
TICKET_CAMP_CLEAN	You must fill in the fields correctly.
MESSENGER_GM	Team
PVP_TOURNAMENT_CAMERA_CLOSE_AUTO	Your watching tournament was end, camera automatic closed.
PVP_TOURNAMENT_CAMERA_TRY_NEAR	Can you try to near %s for watching!
PVP_TOURNAMENT_REMOVE_PLAYER	Do you want to remove %s?
PVP_TOURNAMENT_PANEL_TITLE	Start PvP Duel with Settings
PVP_TOURNAMENT_PVP_TYPE	PvP Type:
PVP_TOURNAMENT_ALL_CHARACTER	All Character
PVP_TOURNAMENT_ONLY_WARRIOR	Only Warrior
PVP_TOURNAMENT_ONLY_ASSASSIN	Only Assassin
PVP_TOURNAMENT_ONLY_SURA	Only Sura
PVP_TOURNAMENT_ONLY_SHAMAN	Only Shaman
PVP_TOURNAMENT_MIN_LEVEL	Min. Level:
PVP_TOURNAMENT_MAX_LEVEL	Max. Level:
PVP_TOURNAMENT_MAX_REGISTER	Max Register:
PVP_TOURNAMENT_REGISTER_TIME	Register Time(minute):
PVP_TOURNAMENT_PVP_BET	PvP Bet:
PVP_TOURNAMENT_PROBLEM_PVP_TYPE	Something wrong in pvpType
PVP_TOURNAMENT_PROBLEM_MIN_LEVEL	Something wrong in minLevel
PVP_TOURNAMENT_PROBLEM_MAX_LEVEL	Something wrong in maxLevel
PVP_TOURNAMENT_PROBLEM_REGISTER_COUNT	Something wrong in registerCount
PVP_TOURNAMENT_PROBLEM_REGISTER_TIME	Something wrong in registerTime
PVP_TOURNAMENT_PROBLEM_BET_PRICE	Something wrong in betPrice
MISSION_BOOOK_TITLE	Mission Books [F11]
ATTR_TOOLTIP_LIST_TITLE	Enchantment Probability
ATTR_TOOLTIP_LIST_1	If the enchantment fails, the item will be destroyed. 
ATTR_ENCHANT_DIALOG_QUESTION	Are you sure you want to enchant this item? 
NEW_AFFECT_SUNGMA_POTION_STR	SungMa STR	SNA
NEW_AFFECT_SUNGMA_POTION_VIT	SungMa VIT	SNA
NEW_AFFECT_SUNGMA_POTION_RES	SungMa RES	SNA
NEW_AFFECT_SUNGMA_POTION_INT	SungMa INT	SNA
